Year,Week,Club1,Club2,Att1,Mid1,Def1,Att2,Mid2,Def2,Diff1,Diff2,Goals1,Goals2
2015,2,Villarreal CF,Espanyol Barcelona,78,76,74,76,73,72,0.0,1.0,3,1
2015,2,Real Sociedad,Sporting Gijón,78,76,76,63,67,70,0.0,0.0,0,0
2015,2,FC Barcelona,Málaga CF,88,85,81,74,73,74,1.0,0.0,1,0
2015,2,Celta Vigo,Rayo Vallecano,75,74,73,75,73,75,1.0,0.0,3,0
2015,2,Real Madrid,Real Betis,86,83,81,73,71,68,0.0,0.0,5,0
2015,2,SD Eibar,Athletic Bilbao,72,72,72,77,77,77,2.0,-1.0,2,0
2015,2,Sevilla FC,Atlético Madrid,79,76,77,81,78,79,0.0,1.0,0,3
2015,2,Valencia CF,Deportivo La Coruña,81,79,77,71,72,72,0.0,0.0,1,1
2015,2,UD Las Palmas,Levante UD,73,70,67,73,71,73,-1.0,-1.0,0,0
2015,2,Getafe CF,Granada CF,72,73,69,72,74,72,-1.0,-2.0,1,2
2015,3,Levante UD,Sevilla FC,73,71,73,79,76,77,-0.5,-1.5,1,1
2015,3,Espanyol Barcelona,Real Madrid,76,73,72,86,83,81,-0.5,2.5,0,6
2015,3,Sporting Gijón,Valencia CF,63,67,70,81,79,77,0.0,0.0,0,1
2015,3,Atlético Madrid,FC Barcelona,81,78,79,88,85,81,2.0,1.0,1,2
2015,3,Real Betis,Real Sociedad,73,71,68,78,76,76,-2.5,0.0,1,0
2015,3,Granada CF,Villarreal CF,72,74,72,78,76,74,-0.5,1.0,1,3
2015,3,Athletic Bilbao,Getafe CF,77,77,77,72,73,69,-1.5,-1.0,3,1
2015,3,Celta Vigo,UD Las Palmas,75,74,73,73,70,67,2.0,-0.5,3,3
2015,3,Málaga CF,SD Eibar,74,73,74,72,72,72,-0.5,2.0,0,0
2015,3,Rayo Vallecano,Deportivo La Coruña,75,73,75,71,72,72,-1.5,0.0,1,3
2015,4,Getafe CF,Málaga CF,72,73,69,74,73,74,-1.3333333333333333,-0.3333333333333333,1,0
2015,4,Real Madrid,Granada CF,86,83,81,72,74,72,3.6666666666666665,-1.0,1,0
2015,4,Valencia CF,Real Betis,81,79,77,73,71,68,0.3333333333333333,-1.3333333333333333,0,0
2015,4,SD Eibar,Atlético Madrid,72,72,72,81,78,79,1.3333333333333333,1.0,0,2
2015,4,Real Sociedad,Espanyol Barcelona,78,76,76,76,73,72,-0.3333333333333333,-2.3333333333333335,2,3
2015,4,Sevilla FC,Celta Vigo,79,76,77,75,74,73,-1.0,1.3333333333333333,1,2
2015,4,Deportivo La Coruña,Sporting Gijón,71,72,72,63,67,70,0.6666666666666666,-0.3333333333333333,2,3
2015,4,Villarreal CF,Athletic Bilbao,78,76,74,77,77,77,1.3333333333333333,-0.3333333333333333,3,1
2015,4,UD Las Palmas,Rayo Vallecano,73,70,67,75,73,75,-0.3333333333333333,-1.6666666666666667,0,1
2015,4,FC Barcelona,Levante UD,88,85,81,73,71,73,1.0,-0.3333333333333333,4,1
2015,5,Atlético Madrid,Getafe CF,81,78,79,72,73,69,1.25,-0.75,2,0
2015,5,Espanyol Barcelona,Valencia CF,76,73,72,81,79,77,-1.5,0.25,1,0
2015,5,Granada CF,Real Sociedad,72,74,72,78,76,76,-1.0,-0.5,0,3
2015,5,Celta Vigo,FC Barcelona,75,74,73,88,85,81,1.25,1.5,4,1
2015,5,Levante UD,SD Eibar,73,71,73,72,72,72,-1.0,0.5,2,2
2015,5,Rayo Vallecano,Sporting Gijón,75,73,75,63,67,70,-1.0,0.0,2,1
2015,5,Athletic Bilbao,Real Madrid,77,77,77,86,83,81,-0.75,3.0,1,2
2015,5,UD Las Palmas,Sevilla FC,73,70,67,79,76,77,-0.5,-1.0,2,0
2015,5,Málaga CF,Villarreal CF,74,73,74,78,76,74,-0.5,1.5,0,1
2015,5,Real Betis,Deportivo La Coruña,73,71,68,71,72,72,-1.0,0.25,1,2
2015,6,Valencia CF,Granada CF,81,79,77,72,74,72,0.0,-1.4,1,0
2015,6,FC Barcelona,UD Las Palmas,88,85,81,73,70,67,0.6,0.0,2,1
2015,6,Real Madrid,Málaga CF,86,83,81,74,73,74,2.6,-0.6,0,0
2015,6,Sevilla FC,Rayo Vallecano,79,76,77,75,73,75,-1.2,-0.6,3,2
2015,6,Villarreal CF,Atlético Madrid,78,76,74,81,78,79,1.4,1.4,1,0
2015,6,SD Eibar,Celta Vigo,72,72,72,75,74,73,0.4,1.6,1,1
2015,6,Sporting Gijón,Real Betis,63,67,70,73,71,68,-0.2,-1.0,1,2
2015,6,Deportivo La Coruña,Espanyol Barcelona,71,72,72,76,73,72,0.4,-1.0,3,0
2015,6,Getafe CF,Levante UD,72,73,69,73,71,73,-1.0,-0.8,3,0
2015,6,Real Sociedad,Athletic Bilbao,78,76,76,77,77,77,0.2,-0.8,0,0
2015,7,Celta Vigo,Getafe CF,75,74,73,72,73,69,1.3333333333333333,-0.3333333333333333,0,0
2015,7,Sevilla FC,FC Barcelona,79,76,77,88,85,81,-0.8333333333333334,0.6666666666666666,2,1
2015,7,Granada CF,Deportivo La Coruña,72,74,72,71,72,72,-1.3333333333333333,0.8333333333333334,1,1
2015,7,Espanyol Barcelona,Sporting Gijón,76,73,72,63,67,70,-1.3333333333333333,-0.3333333333333333,1,2
2015,7,UD Las Palmas,SD Eibar,73,70,67,72,72,72,-0.16666666666666666,0.3333333333333333,0,2
2015,7,Málaga CF,Real Sociedad,74,73,74,78,76,76,-0.5,0.16666666666666666,3,1
2015,7,Rayo Vallecano,Real Betis,75,73,75,73,71,68,-0.6666666666666666,-0.6666666666666666,0,2
2015,7,Athletic Bilbao,Valencia CF,77,77,77,81,79,77,-0.6666666666666666,0.16666666666666666,3,1
2015,7,Levante UD,Villarreal CF,73,71,73,78,76,74,-1.1666666666666667,1.3333333333333333,1,0
2015,7,Atlético Madrid,Real Madrid,81,78,79,86,83,81,1.0,2.1666666666666665,1,1
2015,8,Real Madrid,Levante UD,86,83,81,73,71,73,1.8571428571428572,-0.8571428571428571,3,0
2015,8,SD Eibar,Sevilla FC,72,72,72,79,76,77,0.5714285714285714,-0.5714285714285714,1,1
2015,8,FC Barcelona,Rayo Vallecano,88,85,81,75,73,75,0.42857142857142855,-0.8571428571428571,5,2
2015,8,Valencia CF,Málaga CF,81,79,77,74,73,74,-0.14285714285714285,-0.14285714285714285,3,0
2015,8,Real Betis,Espanyol Barcelona,73,71,68,76,73,72,-0.2857142857142857,-1.2857142857142858,1,3
2015,8,Villarreal CF,Celta Vigo,78,76,74,75,74,73,1.0,1.1428571428571428,1,2
2015,8,Real Sociedad,Atlético Madrid,78,76,76,81,78,79,-0.14285714285714285,0.8571428571428571,0,2
2015,8,Getafe CF,UD Las Palmas,72,73,69,73,70,67,-0.2857142857142857,-0.42857142857142855,4,0
2015,8,Deportivo La Coruña,Athletic Bilbao,71,72,72,77,77,77,0.7142857142857143,-0.2857142857142857,2,2
2015,8,Sporting Gijón,Granada CF,63,67,70,72,74,72,-0.14285714285714285,-1.1428571428571428,3,3
2015,9,Rayo Vallecano,Espanyol Barcelona,75,73,75,76,73,72,-1.125,-0.875,3,0
2015,9,Celta Vigo,Real Madrid,75,74,73,86,83,81,1.125,2.0,1,3
2015,9,Granada CF,Real Betis,72,74,72,73,71,68,-1.0,-0.5,1,1
2015,9,Sevilla FC,Getafe CF,79,76,77,72,73,69,-0.5,0.25,5,0
2015,9,Málaga CF,Deportivo La Coruña,74,73,74,71,72,72,-0.5,0.625,2,0
2015,9,Levante UD,Real Sociedad,73,71,73,78,76,76,-1.125,-0.375,0,4
